,sku,description,sku_x,description,sku,description,sku_x,description
76,887171.0,NOB     ,887171.0,,897171.0,NOB     ,897171.0,
77,6062521.0,NOB     ,6062521.0,,6032521.0,NOB     ,6032521.0,
78,3968011.0,CLINIQUE,3968011.0,CLINIQUE,3898011.0,CLINIQUE,3898011.0,
79,7693786.0,FREDERI ,7693786.0,,7793786.0,FREDERI ,7793786.0,
80,6032521.0,NOB     ,6032521.0,,6072521.0,NOB     ,6072521.0,
81,1751939.0,NOB     ,1751939.0,,2141939.0,NOB     ,2141939.0,
82,6560353.0,NOB     ,6560353.0,,6580353.0,NOB     ,6580353.0,
83,3524026.0,CLINIQUE,3524026.0,CLINIQUE,3978011.0,CLINIQUE,3978011.0,
84,8052644.0,NOB     ,8052644.0,,8042644.0,NOB     ,8042644.0,
85,6300353.0,NOB     ,6300353.0,,6340353.0,NOB     ,6340353.0,
86,6949904.0,CABERN  ,6949904.0,,5189905.0,CABERN  ,5189905.0,
87,1671939.0,NOB     ,1671939.0,NOB     ,2141939.0,NOB     ,2141939.0,
88,6520353.0,NOB     ,6520353.0,,6500353.0,NOB     ,6500353.0,
89,6410353.0,NOB     ,6410353.0,,6370353.0,NOB     ,6370353.0,
90,7316422.0,NOB     ,7316422.0,,556423.0,NOB     ,556423.0,
91,6072521.0,NOB     ,6072521.0,,6032521.0,NOB     ,6032521.0,
92,4762521.0,NOB     ,4762521.0,,4752521.0,NOB     ,4752521.0,
93,6440353.0,NOB     ,6440353.0,,6460353.0,NOB     ,6460353.0,
94,6320353.0,NOB     ,6320353.0,,6300353.0,NOB     ,6300353.0,
95,6320353.0,NOB     ,6320353.0,,6340353.0,NOB     ,6340353.0,
96,7076422.0,NOB     ,7076422.0,,366422.0,NOB     ,366422.0,
97,6300353.0,NOB     ,6300353.0,,6320353.0,NOB     ,6320353.0,
98,6550353.0,NOB     ,6550353.0,,6530353.0,NOB     ,6530353.0,
99,4752521.0,NOB     ,4752521.0,,4762521.0,NOB     ,4762521.0,
100,2716578.0,CLINIQUE,2716578.0,CLINIQUE,3908011.0,CLINIQUE,3908011.0,
101,6752521.0,NOB     ,6752521.0,,6742521.0,NOB     ,6742521.0,
102,6580353.0,NOB     ,6580353.0,,6560353.0,NOB     ,6560353.0,
103,1671939.0,NOB     ,1671939.0,,2141939.0,NOB     ,2141939.0,
104,546423.0,NOB     ,546423.0,,366422.0,NOB     ,366422.0,
105,5168362.0,MAI     ,5168362.0,MAI     ,4648362.0,MAI     ,4648362.0,
106,4648362.0,MAI     ,4648362.0,MAI     ,5168362.0,MAI     ,5168362.0,
107,4462521.0,NOB     ,4462521.0,,4142521.0,NOB     ,4142521.0,
108,6904058.0,FREDERI ,6904058.0,,5539161.0,FREDERI ,5539161.0,
109,7468362.0,MAI     ,7468362.0,,7568362.0,MAI     ,7568362.0,
110,6032521.0,NOB     ,6032521.0,,6062521.0,NOB     ,6062521.0,NOB     
111,6490353.0,NOB     ,6490353.0,,6470353.0,NOB     ,6470353.0,
112,1751939.0,NOB     ,1751939.0,,1671939.0,NOB     ,1671939.0,NOB     
113,6560353.0,NOB     ,6560353.0,,6570353.0,NOB     ,6570353.0,
114,6370353.0,NOB     ,6370353.0,,6410353.0,NOB     ,6410353.0,
115,6500353.0,NOB     ,6500353.0,,6520353.0,NOB     ,6520353.0,
116,6072521.0,NOB     ,6072521.0,,6032521.0,NOB     ,6032521.0,NOB     
117,6752521.0,NOB     ,6752521.0,,6642521.0,NOB     ,6642521.0,
118,5786627.0,FREDERI ,5786627.0,,5826627.0,FREDERI ,5826627.0,
119,4512521.0,NOB     ,4512521.0,,4142521.0,NOB     ,4142521.0,
120,5846627.0,FREDERI ,5846627.0,,5826627.0,FREDERI ,5826627.0,
121,6460353.0,NOB     ,6460353.0,,6440353.0,NOB     ,6440353.0,
122,6062521.0,NOB     ,6062521.0,,6032521.0,NOB     ,6032521.0,NOB     
123,8042644.0,NOB     ,8042644.0,,8032644.0,NOB     ,8032644.0,
124,7848362.0,MAI     ,7848362.0,,7568362.0,MAI     ,7568362.0,
125,8042644.0,NOB     ,8042644.0,,8052644.0,NOB     ,8052644.0,
126,8122644.0,NOB     ,8122644.0,,8142644.0,NOB     ,8142644.0,
127,5189905.0,CABERN  ,5189905.0,,6949904.0,CABERN  ,6949904.0,
128,6290353.0,NOB     ,6290353.0,,6260353.0,NOB     ,6260353.0,
129,6230353.0,NOB     ,6230353.0,,6240353.0,NOB     ,6240353.0,
130,6998362.0,MAI     ,6998362.0,,6208362.0,MAI     ,6208362.0,
131,4462521.0,NOB     ,4462521.0,,4142521.0,NOB     ,4142521.0,NOB     
132,1671939.0,NOB     ,1671939.0,,1751939.0,NOB     ,1751939.0,NOB     
133,5129905.0,CABERN  ,5129905.0,,6939904.0,CABERN  ,6939904.0,
134,7793786.0,FREDERI ,7793786.0,,7693786.0,FREDERI ,7693786.0,
135,6939904.0,CABERN  ,6939904.0,,5129905.0,CABERN  ,5129905.0,
